Resource Title,Listing Description (HTML),Categories (Slug-Based),Email,Fax,Mobile Phone,Phone,Website,Facebook,Twitter,Times Accessed (As of 3.14.2023)
The Jefferson School,"The Jefferson School is a 12-month special education day school and residential school, located 15 minutes from Frederick, Maryland, serving students ages 12 to 21 with severe emotional and behavioral disabilities who need a specialized educational environment, complete with a therapeutic milieu and recreational and community based activities.",education,,,,1-240-315-0200,https://www.sheppardpratt.org/special-education-services/our-schools/jefferson-school/,,,3102
Dental Health Group,"Experienced professional care for children, adults, and seniors. Enhancing smiles and enhancing health, our team has over 81 years of combined dental experience with a focus in cosmetic and general dentistry, pediatric dental care, orthodontic care for children and adults, and reconstructive dentistry. Sedation dentistry by appointment, most insurance plans excepted, interest free, and extended payment plans are available.",oral-health,dhg2@verizon.net,,,(301) 334-2225,http://www.dentistryatdeepcreek.com,https://www.facebook.com/Dental-Health-Group-372825509421596/,,4258
Mullins Family Dentistry,Dental services; Provider S. Todd Mullins,oral-health,,,,(301) 533-0633,,https://www.facebook.com/Mullins-Family-Dentistry-141777532535224/,,5426
Terry E Dornburg - Dentist & Dental Office,Terry E Dornburg - Dentist &amp; Dental Office,oral-health,,,,(301) 895-5955,,https://www.facebook.com/pages/Terry-E-Dornburg/927155227372724,,2779
Albert W Getty DDS PC - Dentist & Dental,Albert W Getty DDS PC - Dentist &amp; Dental,oral-health,,,,(301) 334-4485,http://docgetty.com/index.html,https://www.facebook.com/pages/Albert-W-Getty-DDS-PC/154754774561985,,2248
D W Sheets DMD LLC - Dental & Dentist,D W Sheets DMD LLC - Dental &amp; Dentist,oral-health,,,,(301) 334-1111,http://drsheetsdentistry.com/,https://www.facebook.com/pages/D-W-Sheets-DMD-LLC/100420586974303,,3044
Dream Dental,"We offer convenient early morning, late evening and Saturday appointments. We strive to accommodate our patients' busy schedules.",oral-health,smile@dreamdental.biz,,,(301) 334-3435,http://www.dreamdental.biz,https://www.facebook.com/dreamdental1/,,2320
Garrett County Health Department Dental Clinic,"J. Hieronimus Dental Services his GCHD Dental Clinic provides dental services to children and adults. Services include dental cleanings, fluoride treatments, sealants, restorative treatment, extractions, and outpatient surgical procedure.",oral-health,,,,,http://garretthealth.org/dental-care/,,,121
Cornerstone Family Medicine,"Family Medicine and Obstetrics S. Savopoulos, P. Gotch, and R. Crowell",hospitals-and-health-services,,,,(301) 533-1046,,https://www.facebook.com/pages/Cornerstone-Family-Medicine/111366495593109,,3231
Wellsprings (Terra Alta),Family Medicine and Obstetrics. Dr. Stephanie Brook Sisler also cooperates with other doctors and physicians in medical groups including Wellspring Family Medicine,hospitals-and-health-services,,,,301-789-1029,,,,2925
Dr. Paul Daniel Miller's Office,Family Medicine,hospitals-and-health-services;addiction-treatment,,,,(301) 334-4400,http://www.healthgrades.com/physician/dr-paul-miller-32f3r,https://www.facebook.com/pages/Dr-Paul-Daniel-Millers-Office/565809890103898,,7769
Friendsville Pharmacy,Friendsville Pharmacy,business,,,,(301) 746-5881,http://www.epicrx.com/,https://www.facebook.com/pages/Friendsville-Pharmacy/116784675047352,,4351
Walmart Oakland Pharmacy,"Pharmacy Phone: (301) 334-9129

Pharmacy Hours: Saturday: 9:00 AM - 7:00 PM, Sunday: 10:00 AM - 6:00 PM, Weekdays: 9:00 AM - 8:00 PM

Services at this Location:
• Pharmacy
• Photo Center
• Photo Center One Hour
• Photo Center Digital
• Vision Center
• Grocery
• Garden Center
• Connection Center
• Gift Registry
• Maternity
• Coinstar
• Miners &amp; Merchants Bank
• Redbox
• Smart Style Hair Salon
• Subway

Guidelines for joining the discussion: http://corporate.walmart.com/social-media-guidelines

When Sam Walton opened the doors to the first Walmart in 1962, his goal was to save people money so they can live better. Sam was a firm believer in listening to what his customers had to say. That tradition continues today. But now, it doesn’t have to end when you leave the store. Through Facebook, we’re able to talk to you, find out what’s on your mind and let you know what we’re up to. It’s just another way we’re working to give the millions of families who shop at Walmart more of what they love—ways to save money and live better.",business,,,,(301) 334-8400,http://www.walmart.com,https://www.facebook.com/Walmart2894/,,4793
Rite Aid Pharmacy,Rite Aid Pharmacy,business,,,,(301) 895-5315,https://locations.riteaid.com/locations/md/grantsville/3237-chestnut-ridge-road.html,https://www.facebook.com/RiteAidGrantsvilleMD1086/,,2772
